"State","Abbr","Year","Population","Reps"
"Alabama","AL",2000,4447100,7
"Alaska","AK",2000,626932,1
"Arizona","AZ",2000,5130632,8
"Arkansas","AR",2000,2673400,4
"California","CA",2000,33871648,53
"Colorado","CO",2000,4301261,7
"Connecticut","CT",2000,3405565,5
"Delaware","DE",2000,783600,1
"District of Columbia","DC",2000,572059,0
"Florida","FL",2000,15982378,25
"Georgia","GA",2000,8186453,13
"Hawaii","HI",2000,1211537,2
"Idaho","ID",2000,1293953,2
"Illinois","IL",2000,12419293,19
"Indiana","IN",2000,6080485,9
"Iowa","IA",2000,2926324,5
"Kansas","KS",2000,2688418,4
"Kentucky","KY",2000,4041769,6
"Louisiana","LA",2000,4468976,7
"Maine","ME",2000,1274923,2
"Maryland","MD",2000,5296486,8
"Massachusetts","MA",2000,6349097,10
"Michigan","MI",2000,9938444,15
"Minnesota","MN",2000,4919479,8
"Mississippi","MS",2000,2844658,4
"Missouri","MO",2000,5595211,9
"Montana","MT",2000,902195,1
"Nebraska","NE",2000,1711263,3
"Nevada","NV",2000,1998257,3
"New Hampshire","NH",2000,1235786,2
"New Jersey","NJ",2000,8414350,13
"New Mexico","NM",2000,1819046,3
"New York","NY",2000,18976457,29
"North Carolina","NC",2000,8049313,13
"North Dakota","ND",2000,642200,1
"Ohio","OH",2000,11353140,18
"Oklahoma","OK",2000,3450654,5
"Oregon","OR",2000,3421399,5
"Pennsylvania","PA",2000,12281054,19
"Puerto Rico","PR",2000,3808610,0
"Rhode Island","RI",2000,1048319,2
"South Carolina","SC",2000,4012012,6
"South Dakota","SD",2000,754844,1
"Tennessee","TN",2000,5689283,9
"Texas","TX",2000,20851820,32
"Utah","UT",2000,2233169,3
"Vermont","VT",2000,608827,1
"Virginia","VA",2000,7078515,11
"Washington","WA",2000,5894121,9
"West Virginia","WV",2000,1808344,3
"Wisconsin","WI",2000,5363675,8
"Wyoming","WY",2000,493782,1
