"State","Abbr","Year","Population","Reps"
"Alabama","AL",1980,3893888,7
"Alaska","AK",1980,401851,1
"Arizona","AZ",1980,2718215,5
"Arkansas","AR",1980,2286435,4
"California","CA",1980,23667902,45
"Colorado","CO",1980,2889964,6
"Connecticut","CT",1980,3107576,6
"Delaware","DE",1980,594338,1
"District of Columbia","DC",1980,638333,0
"Florida","FL",1980,9746324,19
"Georgia","GA",1980,5463105,10
"Hawaii","HI",1980,964691,2
"Idaho","ID",1980,943935,2
"Illinois","IL",1980,11426518,22
"Indiana","IN",1980,5490224,10
"Iowa","IA",1980,2913808,6
"Kansas","KS",1980,2363679,5
"Kentucky","KY",1980,3660777,7
"Louisiana","LA",1980,4205900,8
"Maine","ME",1980,1124660,2
"Maryland","MD",1980,4216975,8
"Massachusetts","MA",1980,5737037,11
"Michigan","MI",1980,9262078,18
"Minnesota","MN",1980,4075970,8
"Mississippi","MS",1980,2520638,5
"Missouri","MO",1980,4916686,9
"Montana","MT",1980,786690,2
"Nebraska","NE",1980,1569825,3
"Nevada","NV",1980,800493,2
"New Hampshire","NH",1980,920610,2
"New Jersey","NJ",1980,7364823,14
"New Mexico","NM",1980,1302894,3
"New York","NY",1980,17558072,34
"North Carolina","NC",1980,5881766,11
"North Dakota","ND",1980,652717,1
"Ohio","OH",1980,10797630,21
"Oklahoma","OK",1980,3025290,6
"Oregon","OR",1980,2633105,5
"Pennsylvania","PA",1980,11863895,23
"Puerto Rico","PR",1980,3196520,0
"Rhode Island","RI",1980,947154,2
"South Carolina","SC",1980,3121820,6
"South Dakota","SD",1980,690768,1
"Tennessee","TN",1980,4591120,9
"Texas","TX",1980,14229191,27
"Utah","UT",1980,1461037,3
"Vermont","VT",1980,511456,1
"Virginia","VA",1980,5346818,10
"Washington","WA",1980,4132156,8
"West Virginia","WV",1980,1949644,4
"Wisconsin","WI",1980,4705767,9
"Wyoming","WY",1980,469557,1
