"State","Abbr","Year","Population","Reps"
"Alabama","AL",1930,2646248,9
"Alaska","AK",1930,59278,0
"Arizona","AZ",1930,435573,1
"Arkansas","AR",1930,1854482,7
"California","CA",1930,5677251,20
"Colorado","CO",1930,1035791,4
"Connecticut","CT",1930,1606903,6
"Delaware","DE",1930,238380,1
"District of Columbia","DC",1930,486869,0
"Florida","FL",1930,1468211,5
"Georgia","GA",1930,2908506,10
"Hawaii","HI",1930,368336,0
"Idaho","ID",1930,445032,2
"Illinois","IL",1930,7630654,27
"Indiana","IN",1930,3238503,12
"Iowa","IA",1930,2470939,9
"Kansas","KS",1930,1880999,7
"Kentucky","KY",1930,2614589,9
"Louisiana","LA",1930,2101593,8
"Maine","ME",1930,797423,3
"Maryland","MD",1930,1631526,6
"Massachusetts","MA",1930,4249614,15
"Michigan","MI",1930,4842325,17
"Minnesota","MN",1930,2563953,9
"Mississippi","MS",1930,2009821,7
"Missouri","MO",1930,3629367,13
"Montana","MT",1930,537606,2
"Nebraska","NE",1930,1377963,5
"Nevada","NV",1930,91058,1
"New Hampshire","NH",1930,465293,2
"New Jersey","NJ",1930,4041334,14
"New Mexico","NM",1930,423317,1
"New York","NY",1930,12588066,45
"North Carolina","NC",1930,3170276,11
"North Dakota","ND",1930,680845,2
"Ohio","OH",1930,6646697,24
"Oklahoma","OK",1930,2396040,9
"Oregon","OR",1930,953786,3
"Pennsylvania","PA",1930,9631350,34
"Puerto Rico","PR",1930,1543913,0
"Rhode Island","RI",1930,687497,2
"South Carolina","SC",1930,1738765,6
"South Dakota","SD",1930,692849,2
"Tennessee","TN",1930,2616556,9
"Texas","TX",1930,5824715,21
"Utah","UT",1930,507847,2
"Vermont","VT",1930,359611,1
"Virginia","VA",1930,2421851,9
"Washington","WA",1930,1563396,6
"West Virginia","WV",1930,1729205,6
"Wisconsin","WI",1930,2939006,10
"Wyoming","WY",1930,225565,1
