"State","Abbr","Year","Population","Reps"
"Alabama","AL",1910,2138093,10
"Alaska","AK",1910,64356,0
"Arizona","AZ",1910,204354,0
"Arkansas","AR",1910,1574449,7
"California","CA",1910,2377549,11
"Colorado","CO",1910,799024,4
"Connecticut","CT",1910,1114756,5
"Delaware","DE",1910,202322,1
"District of Columbia","DC",1910,331069,0
"Florida","FL",1910,752619,4
"Georgia","GA",1910,2609121,12
"Hawaii","HI",1910,191909,0
"Idaho","ID",1910,325594,2
"Illinois","IL",1910,5638591,27
"Indiana","IN",1910,2700876,13
"Iowa","IA",1910,2224771,11
"Kansas","KS",1910,1690949,8
"Kentucky","KY",1910,2289905,11
"Louisiana","LA",1910,1656388,8
"Maine","ME",1910,742371,4
"Maryland","MD",1910,1295346,6
"Massachusetts","MA",1910,3366416,16
"Michigan","MI",1910,2810173,13
"Minnesota","MN",1910,2075708,10
"Mississippi","MS",1910,1797114,8
"Missouri","MO",1910,3293335,16
"Montana","MT",1910,376053,2
"Nebraska","NE",1910,1192214,6
"Nevada","NV",1910,81875,1
"New Hampshire","NH",1910,430572,2
"New Jersey","NJ",1910,2537167,12
"New Mexico","NM",1910,327301,0
"New York","NY",1910,9113614,43
"North Carolina","NC",1910,2206287,10
"North Dakota","ND",1910,577056,3
"Ohio","OH",1910,4767121,22
"Oklahoma","OK",1910,1657155,8
"Oregon","OR",1910,672765,3
"Pennsylvania","PA",1910,7665111,36
"Puerto Rico","PR",1910,1118012,0
"Rhode Island","RI",1910,542610,3
"South Carolina","SC",1910,1515400,7
"South Dakota","SD",1910,583888,3
"Tennessee","TN",1910,2184789,10
"Texas","TX",1910,3896542,18
"Utah","UT",1910,373351,2
"Vermont","VT",1910,355956,2
"Virginia","VA",1910,2061612,10
"Washington","WA",1910,1141990,5
"West Virginia","WV",1910,1221119,6
"Wisconsin","WI",1910,2333860,11
"Wyoming","WY",1910,145965,1
