"State","Abbr","Year","Population","Reps"
"Alabama","AL",2020,5030053,7
"Alaska","AK",2020,736081,1
"Arizona","AZ",2020,7158923,9
"Arkansas","AR",2020,3013756,4
"California","CA",2020,39576757,52
"Colorado","CO",2020,5782171,8
"Connecticut","CT",2020,3608298,5
"Delaware","DE",2020,990837,1
"District of Columbia","DC",2020,689545,0
"Florida","FL",2020,21570527,28
"Georgia","GA",2020,10725274,14
"Hawaii","HI",2020,1460137,2
"Idaho","ID",2020,1841377,2
"Illinois","IL",2020,12822739,17
"Indiana","IN",2020,6790280,9
"Iowa","IA",2020,3192406,4
"Kansas","KS",2020,2940865,4
"Kentucky","KY",2020,4509342,6
"Louisiana","LA",2020,4661468,6
"Maine","ME",2020,1363582,2
"Maryland","MD",2020,6185278,8
"Massachusetts","MA",2020,7033469,9
"Michigan","MI",2020,10084442,13
"Minnesota","MN",2020,5709752,8
"Mississippi","MS",2020,2963914,4
"Missouri","MO",2020,6160281,8
"Montana","MT",2020,1085407,2
"Nebraska","NE",2020,1963333,3
"Nevada","NV",2020,3108462,4
"New Hampshire","NH",2020,1379089,2
"New Jersey","NJ",2020,9294493,12
"New Mexico","NM",2020,2120220,3
"New York","NY",2020,20215751,26
"North Carolina","NC",2020,10453948,14
"North Dakota","ND",2020,779702,1
"Ohio","OH",2020,11808848,15
"Oklahoma","OK",2020,3963516,5
"Oregon","OR",2020,4241500,6
"Pennsylvania","PA",2020,13011844,17
"Puerto Rico","PR",2020,3285874,0
"Rhode Island","RI",2020,1098163,2
"South Carolina","SC",2020,5124712,7
"South Dakota","SD",2020,887770,1
"Tennessee","TN",2020,6916897,9
"Texas","TX",2020,29183290,38
"Utah","UT",2020,3275252,4
"Vermont","VT",2020,643503,1
"Virginia","VA",2020,8654542,11
"Washington","WA",2020,7715946,10
"West Virginia","WV",2020,1795045,2
"Wisconsin","WI",2020,5897473,8
"Wyoming","WY",2020,577719,1
