"State","Abbr","Year","Population","Reps"
"Alabama","AL",1960,3266740,8
"Alaska","AK",1960,226167,1
"Arizona","AZ",1960,1302161,3
"Arkansas","AR",1960,1786272,4
"California","CA",1960,15717204,38
"Colorado","CO",1960,1753947,4
"Connecticut","CT",1960,2535234,6
"Delaware","DE",1960,446292,1
"District of Columbia","DC",1960,763956,0
"Florida","FL",1960,4951560,12
"Georgia","GA",1960,3943116,10
"Hawaii","HI",1960,632772,2
"Idaho","ID",1960,667191,2
"Illinois","IL",1960,10081158,24
"Indiana","IN",1960,4662498,11
"Iowa","IA",1960,2757537,7
"Kansas","KS",1960,2178611,5
"Kentucky","KY",1960,3038156,7
"Louisiana","LA",1960,3257022,8
"Maine","ME",1960,969265,2
"Maryland","MD",1960,3100689,8
"Massachusetts","MA",1960,5148578,12
"Michigan","MI",1960,7823194,19
"Minnesota","MN",1960,3413864,8
"Mississippi","MS",1960,2178141,5
"Missouri","MO",1960,4319813,10
"Montana","MT",1960,674767,2
"Nebraska","NE",1960,1411330,3
"Nevada","NV",1960,285278,1
"New Hampshire","NH",1960,606921,2
"New Jersey","NJ",1960,6066782,15
"New Mexico","NM",1960,951023,2
"New York","NY",1960,16782304,41
"North Carolina","NC",1960,4556155,11
"North Dakota","ND",1960,632446,2
"Ohio","OH",1960,9706397,24
"Oklahoma","OK",1960,2328284,6
"Oregon","OR",1960,1768687,4
"Pennsylvania","PA",1960,11319366,27
"Puerto Rico","PR",1960,2349544,0
"Rhode Island","RI",1960,859488,2
"South Carolina","SC",1960,2382594,6
"South Dakota","SD",1960,680514,2
"Tennessee","TN",1960,3567089,9
"Texas","TX",1960,9579677,23
"Utah","UT",1960,890627,2
"Vermont","VT",1960,389881,1
"Virginia","VA",1960,3966949,10
"Washington","WA",1960,2853214,7
"West Virginia","WV",1960,1860421,5
"Wisconsin","WI",1960,3951777,10
"Wyoming","WY",1960,330066,1
