"State","Abbr","Year","Population","Reps"
"Alabama","AL",1970,3444165,7
"Alaska","AK",1970,300382,1
"Arizona","AZ",1970,1770900,4
"Arkansas","AR",1970,1923295,4
"California","CA",1970,19953134,43
"Colorado","CO",1970,2207259,5
"Connecticut","CT",1970,3031709,6
"Delaware","DE",1970,548104,1
"District of Columbia","DC",1970,756510,0
"Florida","FL",1970,6789443,15
"Georgia","GA",1970,4589575,10
"Hawaii","HI",1970,768561,2
"Idaho","ID",1970,712567,2
"Illinois","IL",1970,11113976,24
"Indiana","IN",1970,5193669,11
"Iowa","IA",1970,2824376,6
"Kansas","KS",1970,2246578,5
"Kentucky","KY",1970,3218706,7
"Louisiana","LA",1970,3641306,8
"Maine","ME",1970,992048,2
"Maryland","MD",1970,3922399,8
"Massachusetts","MA",1970,5689170,12
"Michigan","MI",1970,8875083,19
"Minnesota","MN",1970,3804971,8
"Mississippi","MS",1970,2216912,5
"Missouri","MO",1970,4676501,10
"Montana","MT",1970,694409,2
"Nebraska","NE",1970,1483493,3
"Nevada","NV",1970,488738,1
"New Hampshire","NH",1970,737681,2
"New Jersey","NJ",1970,7168164,15
"New Mexico","NM",1970,1016000,2
"New York","NY",1970,18236967,39
"North Carolina","NC",1970,5082059,11
"North Dakota","ND",1970,617761,1
"Ohio","OH",1970,10652017,23
"Oklahoma","OK",1970,2559229,6
"Oregon","OR",1970,2091385,4
"Pennsylvania","PA",1970,11793909,25
"Puerto Rico","PR",1970,2712033,0
"Rhode Island","RI",1970,946725,2
"South Carolina","SC",1970,2590516,6
"South Dakota","SD",1970,665507,2
"Tennessee","TN",1970,3923687,8
"Texas","TX",1970,11196730,24
"Utah","UT",1970,1059273,2
"Vermont","VT",1970,444330,1
"Virginia","VA",1970,4648494,10
"Washington","WA",1970,3409169,7
"West Virginia","WV",1970,1744237,4
"Wisconsin","WI",1970,4417731,9
"Wyoming","WY",1970,332416,1
