"State","Abbr","Year","Population","Reps"
"Alabama","AL",1950,3061743,9
"Alaska","AK",1950,128643,0
"Arizona","AZ",1950,749587,2
"Arkansas","AR",1950,1909511,6
"California","CA",1950,10586223,30
"Colorado","CO",1950,1325089,4
"Connecticut","CT",1950,2007280,6
"Delaware","DE",1950,318085,1
"District of Columbia","DC",1950,802178,0
"Florida","FL",1950,2771305,8
"Georgia","GA",1950,3444578,10
"Hawaii","HI",1950,499794,0
"Idaho","ID",1950,588637,2
"Illinois","IL",1950,8712176,25
"Indiana","IN",1950,3934224,11
"Iowa","IA",1950,2621073,8
"Kansas","KS",1950,1905299,6
"Kentucky","KY",1950,2944806,8
"Louisiana","LA",1950,2683516,8
"Maine","ME",1950,913774,3
"Maryland","MD",1950,2343001,7
"Massachusetts","MA",1950,4690514,14
"Michigan","MI",1950,6371766,18
"Minnesota","MN",1950,2982483,9
"Mississippi","MS",1950,2178914,6
"Missouri","MO",1950,3954653,11
"Montana","MT",1950,591024,2
"Nebraska","NE",1950,1325510,4
"Nevada","NV",1950,160083,1
"New Hampshire","NH",1950,533242,2
"New Jersey","NJ",1950,4835329,14
"New Mexico","NM",1950,681187,2
"New York","NY",1950,14830192,43
"North Carolina","NC",1950,4061929,12
"North Dakota","ND",1950,619636,2
"Ohio","OH",1950,7946627,23
"Oklahoma","OK",1950,2233351,6
"Oregon","OR",1950,1521341,4
"Pennsylvania","PA",1950,10498012,30
"Puerto Rico","PR",1950,2210703,0
"Rhode Island","RI",1950,791896,2
"South Carolina","SC",1950,2117027,6
"South Dakota","SD",1950,652740,2
"Tennessee","TN",1950,3291718,9
"Texas","TX",1950,7711194,22
"Utah","UT",1950,688862,2
"Vermont","VT",1950,377747,1
"Virginia","VA",1950,3318680,10
"Washington","WA",1950,2378963,7
"West Virginia","WV",1950,2005552,6
"Wisconsin","WI",1950,3434575,10
"Wyoming","WY",1950,290529,1
