"State","Abbr","Year","Population","Reps"
"Alabama","AL",1920,2348174,10
"Alaska","AK",1920,55036,0
"Arizona","AZ",1920,334162,1
"Arkansas","AR",1920,1752204,7
"California","CA",1920,3426861,11
"Colorado","CO",1920,939629,4
"Connecticut","CT",1920,1380631,5
"Delaware","DE",1920,223003,1
"District of Columbia","DC",1920,437571,0
"Florida","FL",1920,968470,4
"Georgia","GA",1920,2895832,12
"Hawaii","HI",1920,255912,0
"Idaho","ID",1920,431866,2
"Illinois","IL",1920,6485280,27
"Indiana","IN",1920,2930390,13
"Iowa","IA",1920,2404021,11
"Kansas","KS",1920,1769257,8
"Kentucky","KY",1920,2416630,11
"Louisiana","LA",1920,1798509,8
"Maine","ME",1920,768014,4
"Maryland","MD",1920,1449661,6
"Massachusetts","MA",1920,3852356,16
"Michigan","MI",1920,3668412,13
"Minnesota","MN",1920,2387125,10
"Mississippi","MS",1920,1790618,8
"Missouri","MO",1920,3404055,16
"Montana","MT",1920,548889,2
"Nebraska","NE",1920,1296372,6
"Nevada","NV",1920,77407,1
"New Hampshire","NH",1920,443083,2
"New Jersey","NJ",1920,3155900,12
"New Mexico","NM",1920,360350,1
"New York","NY",1920,10385227,43
"North Carolina","NC",1920,2559123,10
"North Dakota","ND",1920,646872,3
"Ohio","OH",1920,5759394,22
"Oklahoma","OK",1920,2028283,8
"Oregon","OR",1920,783389,3
"Pennsylvania","PA",1920,8720017,36
"Puerto Rico","PR",1920,1299809,0
"Rhode Island","RI",1920,604397,3
"South Carolina","SC",1920,1683724,7
"South Dakota","SD",1920,636547,3
"Tennessee","TN",1920,2337885,10
"Texas","TX",1920,4663228,18
"Utah","UT",1920,449396,2
"Vermont","VT",1920,352428,2
"Virginia","VA",1920,2309187,10
"Washington","WA",1920,1356621,5
"West Virginia","WV",1920,1463701,6
"Wisconsin","WI",1920,2632067,11
"Wyoming","WY",1920,194402,1
