"State","Abbr","Year","Population","Reps"
"Alabama","AL",1940,2832961,9
"Alaska","AK",1940,72524,0
"Arizona","AZ",1940,499261,2
"Arkansas","AR",1940,1949387,7
"California","CA",1940,6907387,23
"Colorado","CO",1940,1123296,4
"Connecticut","CT",1940,1709242,6
"Delaware","DE",1940,266505,1
"District of Columbia","DC",1940,663091,0
"Florida","FL",1940,1897414,6
"Georgia","GA",1940,3123723,10
"Hawaii","HI",1940,423330,0
"Idaho","ID",1940,524873,2
"Illinois","IL",1940,7897241,26
"Indiana","IN",1940,3427796,11
"Iowa","IA",1940,2538268,8
"Kansas","KS",1940,1801028,6
"Kentucky","KY",1940,2845627,9
"Louisiana","LA",1940,2363880,8
"Maine","ME",1940,847226,3
"Maryland","MD",1940,1821244,6
"Massachusetts","MA",1940,4316721,14
"Michigan","MI",1940,5256106,17
"Minnesota","MN",1940,2792300,9
"Mississippi","MS",1940,2183796,7
"Missouri","MO",1940,3784664,13
"Montana","MT",1940,559456,2
"Nebraska","NE",1940,1315834,4
"Nevada","NV",1940,110247,1
"New Hampshire","NH",1940,491524,2
"New Jersey","NJ",1940,4160165,14
"New Mexico","NM",1940,531818,2
"New York","NY",1940,13479142,45
"North Carolina","NC",1940,3571623,12
"North Dakota","ND",1940,641935,2
"Ohio","OH",1940,6907612,23
"Oklahoma","OK",1940,2336434,8
"Oregon","OR",1940,1089684,4
"Pennsylvania","PA",1940,9900180,33
"Puerto Rico","PR",1940,1869255,0
"Rhode Island","RI",1940,713346,2
"South Carolina","SC",1940,1899804,6
"South Dakota","SD",1940,642961,2
"Tennessee","TN",1940,2915841,10
"Texas","TX",1940,6414824,21
"Utah","UT",1940,550310,2
"Vermont","VT",1940,359231,1
"Virginia","VA",1940,2677773,9
"Washington","WA",1940,1736191,6
"West Virginia","WV",1940,1901974,6
"Wisconsin","WI",1940,3137587,10
"Wyoming","WY",1940,250742,1
