"State","Abbr","Year","Population","Reps"
"Alabama","AL",1990,4040587,7
"Alaska","AK",1990,550043,1
"Arizona","AZ",1990,3665228,6
"Arkansas","AR",1990,2350725,4
"California","CA",1990,29760021,52
"Colorado","CO",1990,3294394,6
"Connecticut","CT",1990,3287116,6
"Delaware","DE",1990,666168,1
"District of Columbia","DC",1990,606900,0
"Florida","FL",1990,12937926,23
"Georgia","GA",1990,6478216,11
"Hawaii","HI",1990,1108229,2
"Idaho","ID",1990,1006749,2
"Illinois","IL",1990,11430602,20
"Indiana","IN",1990,5544159,10
"Iowa","IA",1990,2776755,5
"Kansas","KS",1990,2477574,4
"Kentucky","KY",1990,3685296,6
"Louisiana","LA",1990,4219973,7
"Maine","ME",1990,1227928,2
"Maryland","MD",1990,4781468,8
"Massachusetts","MA",1990,6016425,10
"Michigan","MI",1990,9295297,16
"Minnesota","MN",1990,4375099,8
"Mississippi","MS",1990,2573216,5
"Missouri","MO",1990,5117073,9
"Montana","MT",1990,799065,1
"Nebraska","NE",1990,1578385,3
"Nevada","NV",1990,1201833,2
"New Hampshire","NH",1990,1109252,2
"New Jersey","NJ",1990,7730188,13
"New Mexico","NM",1990,1515069,3
"New York","NY",1990,17990455,31
"North Carolina","NC",1990,6628637,12
"North Dakota","ND",1990,638800,1
"Ohio","OH",1990,10847115,19
"Oklahoma","OK",1990,3145585,6
"Oregon","OR",1990,2842321,5
"Pennsylvania","PA",1990,11881643,21
"Puerto Rico","PR",1990,3522037,0
"Rhode Island","RI",1990,1003464,2
"South Carolina","SC",1990,3486703,6
"South Dakota","SD",1990,696004,1
"Tennessee","TN",1990,4877185,9
"Texas","TX",1990,16986510,30
"Utah","UT",1990,1722850,3
"Vermont","VT",1990,562758,1
"Virginia","VA",1990,6187358,11
"Washington","WA",1990,4866692,9
"West Virginia","WV",1990,1793477,3
"Wisconsin","WI",1990,4891769,9
"Wyoming","WY",1990,453588,1
